name,release_date,duration,explicit,popularity,track_number,danceability,energy,s_key,loudness,mode,speechiness,acousticness,valence,tempo,album
"White Death - Live, at Woodstock Festival",2013-09-20,283346,0,19,10,0.375,0.866,5,-8.147,0,0.0619,0.0000453,0.455,153.906,"Swedish Empire (Live)"
"Attero Dominatus - Live, at Woodstock Festival",2013-09-20,268760,0,20,11,0.402,0.87,10,-8.29,0,0.0645,0.0000583,0.197,86.002,"Swedish Empire (Live)"
"The Art of War - Live, at Woodstock Festival",2013-09-20,354240,0,18,12,0.439,0.798,2,-9.16,0,0.0523,0.00147,0.167,88.041,"Swedish Empire (Live)"
"Primo Victoria - Live, at Woodstock Festival",2013-09-20,319946,0,20,13,0.407,0.808,4,-8.777,0,0.0889,0.0037,0.448,137.965,"Swedish Empire (Live)"
"40:1 - Live, at Woodstock Festival",2013-09-20,325960,0,21,14,0.402,0.89,0,-8.462,1,0.0931,0.000331,0.248,136.331,"Swedish Empire (Live)"
"Metal Crüe - Live, at Woodstock Festival",2013-09-20,305600,0,19,15,0.35,0.911,0,-7.474,1,0.058,0.0000343,0.373,99.048,"Swedish Empire (Live)"
"Dominium Maris Baltici",2012-05-25,29400,0,7,0,0.445,0.0795,6,-20.132,0,0.0322,0.787,0.163,153.246,"Carolus Rex (Swedish)"
"Lejonet Från Norden",2012-05-25,282480,0,44,1,0.482,0.953,6,-4.46,0,0.0533,0.0000575,0.573,152.97,"Carolus Rex (Swedish)"
"Gott Mit Uns",2012-05-25,195640,0,42,2,0.447,0.943,10,-3.535,1,0.05,0.00284,0.468,135.003,"Carolus Rex (Swedish)"
"En Livstid I Krig",2012-05-25,344413,0,53,3,0.44,0.683,0,-5.813,0,0.0326,0.0161,0.164,136.118,"Carolus Rex (Swedish)"
"1 6 4 8",2012-05-25,235986,0,40,4,0.591,0.939,2,-5.128,1,0.0542,0.00127,0.351,113.998,"Carolus Rex (Swedish)"
"Karolinens Bön",2012-05-25,374066,0,42,5,0.498,0.774,2,-6.061,1,0.0283,0.0182,0.384,88.002,"Carolus Rex (Swedish)"
"Carolus Rex",2012-05-25,294306,0,49,6,0.434,0.834,10,-5.686,0,0.0524,0.000325,0.194,176.137,"Carolus Rex (Swedish)"
"Ett Slag Färgat Rött",2012-05-25,264493,0,40,7,0.453,0.913,2,-5.009,1,0.0492,0.000136,0.419,149.98,"Carolus Rex (Swedish)"
Poltava,2012-05-25,243293,0,39,8,0.474,0.934,1,-5.175,0,0.0598,0.0003,0.225,84.001,"Carolus Rex (Swedish)"
Livgardet,2012-05-25,275605,0,39,9,0.457,0.96,2,-4.234,0,0.0777,0.00855,0.224,137.85,"Carolus Rex (Swedish)"
"Konungens Likfärd",2012-05-25,249773,0,41,10,0.478,0.826,6,-5.163,0,0.0327,0.0125,0.584,135.028,"Carolus Rex (Swedish)"
"Ruina Imperii",2012-05-25,201133,0,43,11,0.457,0.722,4,-5.994,0,0.0306,0.0383,0.165,82.01,"Carolus Rex (Swedish)"
"Dominium Maris Baltici",2012-05-25,29386,0,5,0,0.437,0.0734,6,-19.63,0,0.0334,0.827,0.159,153.26,"Carolus Rex (English)"
"The Lion From The North",2012-05-25,282520,0,50,1,0.493,0.953,6,-4.574,0,0.0539,0.0000674,0.634,152.984,"Carolus Rex (English)"
"Gott Mit Uns - English Version",2012-05-25,195480,0,48,2,0.436,0.942,10,-3.447,1,0.0516,0.00128,0.444,134.98,"Carolus Rex (English)"
"A Lifetime Of War",2012-05-25,345413,0,44,3,0.407,0.708,0,-5.871,0,0.0387,0.0176,0.158,136.056,"Carolus Rex (English)"
"1 6 4 8 - English Version",2012-05-25,234973,0,41,4,0.591,0.927,2,-5.085,1,0.0609,0.000674,0.422,113.991,"Carolus Rex (English)"
"The Carolean's Prayer",2012-05-25,374413,0,42,5,0.493,0.793,4,-5.935,0,0.0292,0.0269,0.359,88.014,"Carolus Rex (English)"
"Carolus Rex - English Version",2012-05-25,293826,0,53,6,0.442,0.846,10,-5.545,0,0.0499,0.000594,0.241,176.138,"Carolus Rex (English)"
"Killing Ground",2012-05-25,264600,0,40,7,0.444,0.929,2,-5,1,0.0451,0.0000917,0.422,150.047,"Carolus Rex (English)"
"Poltava - English Version",2012-05-25,243826,0,41,8,0.472,0.93,2,-5.27,1,0.0719,0.000377,0.151,83.983,"Carolus Rex (English)"
"The Royal Guard",2012-05-25,277578,0,38,9,0.448,0.974,2,-4.433,0,0.0844,0.00454,0.156,138.032,"Carolus Rex (English)"
"Long Live The King",2012-05-25,249520,0,42,10,0.479,0.808,4,-5.184,1,0.0327,0.0156,0.525,135.073,"Carolus Rex (English)"
"Ruina Imperii",2012-05-25,201040,0,35,11,0.457,0.717,4,-5.965,0,0.0297,0.0386,0.155,82.015,"Carolus Rex (English)"
"In the Army Now",2012-05-25,238932,0,42,12,0.583,0.759,2,-6.718,0,0.0397,0.000459,0.0754,115.001,"Carolus Rex (English)"
"Twilight of the Thunder God",2012-05-25,239070,1,50,13,0.503,0.955,1,-5.523,1,0.046,0.0000121,0.334,95.553,"Carolus Rex (English)"
"Feuer Frei",2012-05-25,192000,0,36,14,0.473,0.99,1,-5.15,0,0.0834,0.000134,0.0715,95.003,"Carolus Rex (English)"
"Harley From Hell",2012-05-25,229973,1,30,15,0.312,0.972,0,-4.427,1,0.0767,0.000625,0.499,185.022,"Carolus Rex (English)"
"The March to War - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,80306,0,17,0,0.375,0.386,0,-14.904,1,0.031,0.0476,0.0705,93.867,"World War Live - Battle of the Baltic Sea"
"Ghost Division - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,233586,0,19,1,0.365,0.946,9,-5.219,0,0.0648,0.000344,0.283,91.087,"World War Live - Battle of the Baltic Sea"
"Uprising - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,366413,0,19,2,0.259,0.79,4,-6.694,0,0.0588,0.0237,0.238,175.485,"World War Live - Battle of the Baltic Sea"
"Aces in Exile - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,365693,0,19,3,0.278,0.875,7,-6.62,1,0.113,0.00401,0.156,76.694,"World War Live - Battle of the Baltic Sea"
"Cliffs of Gallipoli - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,393946,0,18,4,0.333,0.725,8,-6.86,1,0.038,0.0158,0.285,93.181,"World War Live - Battle of the Baltic Sea"
"White Death - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,332040,0,17,5,0.282,0.802,5,-6.322,0,0.076,0.00158,0.328,148.255,"World War Live - Battle of the Baltic Sea"
"Swedish Pagans - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,377573,0,18,6,0.28,0.815,9,-7.262,0,0.107,0.0225,0.135,137.556,"World War Live - Battle of the Baltic Sea"
"Wolfpack - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,347680,0,20,7,0.374,0.862,4,-6.324,0,0.071,0.0223,0.267,80.445,"World War Live - Battle of the Baltic Sea"
"40:1 - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,341933,0,18,8,0.34,0.832,7,-6.434,1,0.103,0.0151,0.182,138.97,"World War Live - Battle of the Baltic Sea"
"The Art of War - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,339226,0,16,9,0.314,0.694,0,-6.82,1,0.0468,0.00468,0.121,84.137,"World War Live - Battle of the Baltic Sea"
"Attero Dominatus - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,289493,0,17,10,0.329,0.745,5,-6.694,0,0.0566,0.0022,0.183,85.083,"World War Live - Battle of the Baltic Sea"
"The Price of a Mile - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,386280,0,17,11,0.366,0.691,5,-6.883,1,0.0831,0.0456,0.169,83.732,"World War Live - Battle of the Baltic Sea"
"Primo Victoria - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,300893,0,17,12,0.406,0.767,2,-6.399,1,0.0484,0.0328,0.32,137.545,"World War Live - Battle of the Baltic Sea"
"Metal Medley - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,309560,0,17,13,0.168,0.89,9,-4.878,0,0.0792,0.000109,0.423,165.596,"World War Live - Battle of the Baltic Sea"
"Dead Soldiers Waltz - Live at the Sabaton Cruise, Dec. 2010",2011-08-19,165986,0,15,14,0.304,0.369,7,-16.275,1,0.0293,0.0604,0.339,97.957,"World War Live - Battle of the Baltic Sea"
"Screaming Eagles - World War Tour 2010",2011-08-19,267066,0,17,15,0.231,0.927,0,-5.683,1,0.0871,0.000357,0.31,168.016,"World War Live - Battle of the Baltic Sea"
"Coat of Arms - World War Tour 2010",2011-08-19,196440,0,17,16,0.231,0.948,0,-5.942,1,0.109,0.000305,0.183,162.355,"World War Live - Battle of the Baltic Sea"
"Into the Fire - World War Tour 2010",2011-08-19,198146,0,14,17,0.294,0.959,5,-6.25,0,0.132,0.00036,0.201,132.31,"World War Live - Battle of the Baltic Sea"
"Talvisota - World War Tour 2010",2011-08-19,213986,0,17,18,0.402,0.922,2,-6.393,1,0.113,0.0000187,0.149,133.186,"World War Live - Battle of the Baltic Sea"
"The Final Solution - World War Tour 2010",2011-08-19,336400,0,19,19,0.334,0.772,7,-6.532,0,0.0435,0.00428,0.24,87.342,"World War Live - Battle of the Baltic Sea"
"Sun Tzu Says",2010-09-24,23906,0,2,0,0.384,0.483,0,-15.398,1,0.0727,0.00951,0.202,108.077,"The Art of War (Re-Armed)"
"Ghost Division",2010-09-24,231186,0,60,1,0.343,0.945,4,-3.259,1,0.0555,0.000101,0.539,176.135,"The Art of War (Re-Armed)"
"The Art of War",2010-09-24,308840,0,44,2,0.49,0.82,4,-5.195,1,0.0417,0.0118,0.374,84.099,"The Art of War (Re-Armed)"
40:1,2010-09-24,250813,0,51,3,0.462,0.941,6,-4.34,0,0.0868,0.0000697,0.539,130.119,"The Art of War (Re-Armed)"
Unbreakable,2010-09-24,358066,0,39,4,0.265,0.838,2,-5.151,0,0.0537,0.000759,0.298,107.174,"The Art of War (Re-Armed)"
"The Nature of Warfare",2010-09-24,78826,0,30,5,0.518,0.336,2,-14.264,1,0.0334,0.0393,0.0311,98.074,"The Art of War (Re-Armed)"
"Cliffs of Gallipoli",2010-09-24,351533,0,40,6,0.45,0.772,2,-5.633,0,0.033,0.025,0.44,91.887,"The Art of War (Re-Armed)"
Talvisota,2010-09-24,212333,0,41,7,0.494,0.936,9,-4.836,0,0.108,0.00000465,0.279,122.208,"The Art of War (Re-Armed)"
Panzerkampf,2010-09-24,315760,0,56,8,0.485,0.872,6,-4.741,0,0.0458,0.00518,0.527,98.087,"The Art of War (Re-Armed)"
"Union (Slopes of St.Benedict)",2010-09-24,245120,0,40,9,0.448,0.877,7,-5.688,0,0.0489,0.00386,0.236,130.151,"The Art of War (Re-Armed)"
"The Price of a Mile",2010-09-24,355493,0,51,10,0.48,0.766,7,-6.267,1,0.0408,0.0451,0.388,84.143,"The Art of War (Re-Armed)"
Firestorm,2010-09-24,205666,0,39,11,0.438,0.878,6,-6.495,0,0.087,0.0000613,0.541,144.273,"The Art of War (Re-Armed)"
"A Secret",2010-09-24,37480,0,27,12,0.502,0.334,0,-15.39,1,0.201,0.145,0.0767,122.973,"The Art of War (Re-Armed)"
"Swedish Pagans",2010-09-24,253226,0,53,13,0.257,0.979,7,-4.079,1,0.121,0.0883,0.17,135.067,"The Art of War (Re-Armed)"
"Glorious Land",2010-09-24,199240,0,35,14,0.483,0.925,9,-3.964,1,0.0621,0.000061,0.187,117.511,"The Art of War (Re-Armed)"
"Art of War - Pre Production Demos",2010-09-24,288480,0,26,15,0.456,0.727,6,-6.106,0,0.0371,0.0135,0.491,168.093,"The Art of War (Re-Armed)"
"Swedish National Anthem - Live, at Sweden Rock Festival",2010-09-24,154800,0,27,16,0.374,0.787,7,-6.172,1,0.0852,0.173,0.433,76.144,"The Art of War (Re-Armed)"
